oracle_id,oracle_name,round,degree,progress_pct,accuracy,tier,fired,avg_coverage_width,max_coverage_width,total_slack,noisy_flip,matches_true_top10,top10,point_vec
3,zero-weight-criterion,59,4,93,0.933466,veryHigh,false,0.041584,0.099801,0.000000,false,true,synthetic-album-0|synthetic-album-1|synthetic-album-11|synthetic-album-2|synthetic-album-3|synthetic-album-4|synthetic-album-6|synthetic-album-7|synthetic-album-8|synthetic-album-9,0.099899932 0.099999996 0.100100059 0.199999992 0.099899932 0.099999996 0.100100059 0.199999992 0.099899932 0.099999996 0.100100059 0.199999992 0.099899932 0.099999996 0.100100059 0.199999992 0.099899932 0.099999996 0.100100059 0.199999992 0.000000008 0.000000019 0.000000030 0.000000041
3,zero-weight-criterion,60,5,93,0.933466,veryHigh,false,0.041584,0.099801,0.000000,false,true,synthetic-album-0|synthetic-album-1|synthetic-album-11|synthetic-album-2|synthetic-album-3|synthetic-album-4|synthetic-album-6|synthetic-album-7|synthetic-album-8|synthetic-album-9,0.099899934 0.099999996 0.100100058 0.199999992 0.099899934 0.099999996 0.100100058 0.199999992 0.099899934 0.099999996 0.100100058 0.199999992 0.099899934 0.099999996 0.100100058 0.199999992 0.099899934 0.099999996 0.100100058 0.199999992 0.000000008 0.000000019 0.000000029 0.000000040
3,zero-weight-criterion,61,5,93,0.933466,veryHigh,false,0.041584,0.099801,-0.000000,false,true,synthetic-album-0|synthetic-album-1|synthetic-album-11|synthetic-album-2|synthetic-album-3|synthetic-album-4|synthetic-album-6|synthetic-album-7|synthetic-album-8|synthetic-album-9,0.099899936 0.099999996 0.100100056 0.199999992 0.099899936 0.099999996 0.100100056 0.199999992 0.099899936 0.099999996 0.100100056 0.199999992 0.099899936 0.099999996 0.100100056 0.199999992 0.099899936 0.099999996 0.100100056 0.199999992 0.000000007 0.000000018 0.000000028 0.000000039
3,zero-weight-criterion,62,5,93,0.933466,veryHigh,false,0.041584,0.099801,0.000000,false,true,synthetic-album-0|synthetic-album-1|synthetic-album-11|synthetic-album-2|synthetic-album-3|synthetic-album-4|synthetic-album-6|synthetic-album-7|synthetic-album-8|synthetic-album-9,0.099899936 0.099999996 0.100100056 0.199999992 0.099899936 0.099999996 0.100100056 0.199999992 0.099899936 0.099999996 0.100100056 0.199999992 0.099899936 0.099999996 0.100100056 0.199999992 0.099899936 0.099999996 0.100100056 0.199999992 0.000000007 0.000000018 0.000000028 0.000000039
3,zero-weight-criterion,63,5,93,0.933466,veryHigh,false,0.041584,0.099801,0.000000,false,true,synthetic-album-0|synthetic-album-1|synthetic-album-11|synthetic-album-2|synthetic-album-3|synthetic-album-4|synthetic-album-6|synthetic-album-7|synthetic-album-8|synthetic-album-9,0.099899936 0.099999996 0.100100056 0.199999992 0.099899936 0.099999996 0.100100056 0.199999992 0.099899936 0.099999996 0.100100056 0.199999992 0.099899936 0.099999996 0.100100056 0.199999992 0.099899936 0.099999996 0.100100056 0.199999992 0.000000007 0.000000018 0.000000028 0.000000039
3,zero-weight-criterion,64,5,93,0.933466,veryHigh,false,0.041584,0.099801,-0.000000,false,true,synthetic-album-0|synthetic-album-1|synthetic-album-11|synthetic-album-2|synthetic-album-3|synthetic-album-4|synthetic-album-6|synthetic-album-7|synthetic-album-8|synthetic-album-9,0.099899940 0.099999996 0.100100053 0.199999993 0.099899940 0.099999996 0.100100053 0.199999993 0.099899940 0.099999996 0.100100053 0.199999993 0.099899940 0.099999996 0.100100053 0.199999993 0.099899940 0.099999996 0.100100053 0.199999993 0.000000007 0.000000017 0.000000027 0.000000037
3,zero-weight-criterion,65,5,93,0.933466,veryHigh,false,0.041584,0.099801,0.000000,false,true,synthetic-album-0|synthetic-album-1|synthetic-album-11|synthetic-album-2|synthetic-album-3|synthetic-album-4|synthetic-album-6|synthetic-album-7|synthetic-album-8|synthetic-album-9,0.099899940 0.099999996 0.100100053 0.199999993 0.099899940 0.099999996 0.100100053 0.199999993 0.099899940 0.099999996 0.100100053 0.199999993 0.099899940 0.099999996 0.100100053 0.199999993 0.099899940 0.099999996 0.100100053 0.199999993 0.000000007 0.000000017 0.000000027 0.000000037
3,zero-weight-criterion,66,5,93,0.933466,veryHigh,false,0.041584,0.099801,0.000000,false,true,synthetic-album-0|synthetic-album-1|synthetic-album-11|synthetic-album-2|synthetic-album-3|synthetic-album-4|synthetic-album-6|synthetic-album-7|synthetic-album-8|synthetic-album-9,0.099899945 0.099999994 0.100100048 0.199999993 0.099899944 0.099999996 0.100100047 0.199999995 0.099899946 0.099999998 0.100100049 0.199999993 0.099899944 0.099999996 0.100100050 0.199999993 0.099899946 0.099999994 0.100100045 0.199999990 0.000000007 0.000000017 0.000000027 0.000000037
3,zero-weight-criterion,67,6,93,0.933466,veryHigh,false,0.041584,0.099801,0.000000,false,true,synthetic-album-0|synthetic-album-1|synthetic-album-11|synthetic-album-2|synthetic-album-3|synthetic-album-4|synthetic-album-6|synthetic-album-7|synthetic-album-8|synthetic-album-9,0.099899940 0.099999996 0.100100053 0.199999993 0.099899940 0.099999996 0.100100053 0.199999993 0.099899940 0.099999996 0.100100053 0.199999993 0.099899940 0.099999996 0.100100053 0.199999993 0.099899940 0.099999996 0.100100053 0.199999993 0.000000007 0.000000017 0.000000027 0.000000037
3,zero-weight-criterion,68,6,92,0.924418,veryHigh,false,0.041584,0.099801,-0.000000,false,true,synthetic-album-0|synthetic-album-1|synthetic-album-11|synthetic-album-2|synthetic-album-3|synthetic-album-4|synthetic-album-6|synthetic-album-7|synthetic-album-8|synthetic-album-9,0.099899942 0.100000000 0.100100061 0.199999991 0.099899938 0.099999997 0.100100057 0.199999994 0.099899940 0.099999999 0.100100059 0.199999991 0.099899938 0.099999999 0.100100061 0.199999994 0.099899948 0.099999997 0.100100054 0.199999994 0.000000007 0.000000017 0.000000027 0.000000037
